Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
The Tooth Hub Dental Clinic,,+91 82338 34444,"Flat No C, #100, Kamadhenu Apartments, Diagonal Rd",4.9,255,Unknown,https://www.google.com/maps/place/The+Tooth+Hub+Dental+Clinic/data=!4m7!3m6!1s0x3bae159d20bcd8bd:0xd1be07cc879fa17a!8m2!3d12.950345!4d77.5752187!16s%2Fg%2F11st_16gv4!19sChIJvdi8IJ0VrjsReqGfh8wHvtE?authuser=0&hl=en&rclk=1,https://click4appointment.com/clinic-details/thetoothhubdentalclinic-3536,Google Maps
The Image Hospital | Best Hair Face Dental Clinic in Sahakar Nagar Bangalore,,+91 87920 36555,"2nd Floor, MCN square, No 13",4.9,542,Unknown,https://www.google.com/maps/place/The+Image+Hospital+%7C+Best+Hair+Face+Dental+Clinic+in+Sahakar+Nagar+Bangalore/data=!4m7!3m6!1s0x3bae191017415b93:0xad9694f0c48e07f0!8m2!3d13.0627853!4d77.5931335!16s%2Fg%2F11q9m9f8z4!19sChIJk1tBFxAZrjsR8AeOxPCUlq0?authuser=0&hl=en&rclk=1,http://www.theimagehospital.com/,Google Maps
Smilekraft Dental Clinic,,+91 88677 57004,"391, 18th E Main Rd",4.9,810,Unknown,https://www.google.com/maps/place/Smilekraft+Dental+Clinic/data=!4m7!3m6!1s0x3bae1688f20deb4f:0xb74c634845cc8b0b!8m2!3d12.941088!4d77.62348!16s%2Fg%2F1tkc0k9r!19sChIJT-sN8ogWrjsRC4vMRUhjTLc?authuser=0&hl=en&rclk=1,https://smilekraftdc.in/,Google Maps
Smile Dental Clinic,,+91 95131 51235,"17TH CROSS, 531/A, New BEL Rd, behind Indian Bank",4.9,211,Unknown,https://www.google.com/maps/place/Smile+Dental+Clinic/data=!4m7!3m6!1s0x3bae17dd9249caeb:0xfc699eb7b4763cfe!8m2!3d13.0376646!4d77.5657459!16s%2Fg%2F1tf73zph!19sChIJ68pJkt0XrjsR_jx2tLeeafw?authuser=0&hl=en&rclk=1,http://smilebangalore.com/,Google Maps
Smile Care Dental Clinic,,+91 80 4115 4773,"274, 2nd Cross Rd",4.8,309,Unknown,https://www.google.com/maps/place/Smile+Care+Dental+Clinic/data=!4m7!3m6!1s0x3bae16a0afe9149d:0xb07f9e38b68f87e8!8m2!3d12.9706481!4d77.6320667!16s%2Fg%2F1tgr_ck9!19sChIJnRTpr6AWrjsR6IePtjief7A?authuser=0&hl=en&rclk=1,https://smilecareclinic.in/,Google Maps
AP Spatika Dantalaya - Best Dental Clinic Bangalore,,+91 78924 57805,"First Floor, No 7, Sri Maruthi Nilaya, Rajagopalnagar Main Rd",4.9,541,Unknown,https://www.google.com/maps/place/AP+Spatika+Dantalaya+-+Best+Dental+Clinic+Bangalore/data=!4m7!3m6!1s0x3bae3d9e35f38f51:0x52f413cab5c6d544!8m2!3d13.014849!4d77.5106706!16s%2Fg%2F11tp93kb5d!19sChIJUY_zNZ49rjsRRNXGtcoT9FI?authuser=0&hl=en&rclk=1,https://www.clinicspots.com/doctor/dr-bharath-gowda--m-c,Google Maps
Dezy Dental Clinic,,+91 76187 92440,"1st floor, Juice Junction Building, 2628, 27th Main Rd",4.8,2635,Unknown,https://www.google.com/maps/place/Dezy+Dental+Clinic/data=!4m7!3m6!1s0x3bae1525571384e3:0xc1f3ae8185f6abb8!8m2!3d12.9151!4d77.6517055!16s%2Fg%2F11rnf8vkm2!19sChIJ44QTVyUVrjsRuKv2hYGu88E?authuser=0&hl=en&rclk=1,https://www.dezy.com/clinics/bangalore/best-dental-clinic-bangalore-hsr-layout-sector-1?city=bangalore,Google Maps
House Of Dentistry™️,,+91 94499 35053,"Lower Palace Orchards, 80, 8th Cross Rd",5.0,498,Unknown,https://www.google.com/maps/place/House+Of+Dentistry%E2%84%A2%EF%B8%8F/data=!4m7!3m6!1s0x3bae1705d638c8e9:0xc89b0dcf6bd640af!8m2!3d13.0041261!4d77.5802998!16s%2Fg%2F11j0tky5vv!19sChIJ6cg41gUXrjsRr0DWa88Nm8g?authuser=0&hl=en&rclk=1,http://www.houseofdentistry.in/,Google Maps
Dental Diagnostic Centre-DDC Smiles Koramangala,,+91 80 2552 9197,"No 6, Jai Plaza, 80 Feet Road, Srinivagilu Main Rd",5.0,3505,Unknown,https://www.google.com/maps/place/Dental+Diagnostic+Centre-DDC+Smiles+Koramangala/data=!4m7!3m6!1s0x3bae1461b2a801bf:0xe0176c8a7355395c!8m2!3d12.92656!4d77.6335927!16s%2Fg%2F1tgkfqqt!19sChIJvwGosmEUrjsRXDlVc4psF-A?authuser=0&hl=en&rclk=1,https://ddcsmiles.in/,Google Maps
"Alisa Dental Care | Dental Clinic in Richmond Town, Bangalore",,+91 81038 10342,"6/3, Campbell Rd, next to ST. PHILOMENA'S HOSPITAL",4.9,120,Unknown,"https://www.google.com/maps/place/Alisa+Dental+Care+%7C+Dental+Clinic+in+Richmond+Town,+Bangalore/data=!4m7!3m6!1s0x3bae1564e666a4d3:0x6eab2322a49738!8m2!3d12.9654356!4d77.6104028!16s%2Fg%2F11j1j7m_hd!19sChIJ06Rm5mQVrjsROJekIiOrbgA?authuser=0&hl=en&rclk=1",https://www.drbeenagopidental.com/,Google Maps
Curaden Dental Clinic,,+91 80 4339 0000,"11, Ground Floor, Global Tech Park, O Shaughnessy Rd, behind Hockey stadium",4.7,113,Unknown,https://www.google.com/maps/place/Curaden+Dental+Clinic/data=!4m7!3m6!1s0x3bae14527012eef7:0x35d394effa677cba!8m2!3d12.9622256!4d77.5994713!16s%2Fg%2F1tdg1njh!19sChIJ9-4ScFIUrjsRunxn-u-U0zU?authuser=0&hl=en&rclk=1,https://www.curaden-clinic.in/,Google Maps
